Time Stamp,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Transformed accelerometer X,Transformed accelerometer Y,Transformed accelerometer Z,Transformed gyroscope X,Transformed gyroscope Y,Transformed gyroscope Z,Gravity X,Gravity Y,Gravity Z, Universal Time Stamp
0.00,-0.01545946,0.00082320,-0.00358242,0.13767436,-0.21236245,-0.00420553,-0.01554296,0.00095063,-0.00316527,0.13742898,-0.21198799,-0.01562353,0.02473700,-0.03774977,-0.99898100,1689771117653
0.03,-0.04694097,-0.04379679,0.00591159,-0.02704603,-0.01533505,-0.05271332,-0.04681924,-0.04401233,0.00523766,-0.02819654,-0.01329780,-0.05266374,0.02182520,-0.03864676,-0.99901456,1689771117653
0.07,-0.04503425,0.02015290,-0.00571996,-0.06312571,0.35771635,-0.16912970,-0.04514147,0.02033399,-0.00396458,-0.06670523,0.36376233,-0.15420143,0.02213101,-0.03738038,-0.99905604,1689771117677
0.10,0.06414430,0.00077154,0.02738982,-0.09598962,0.09061082,0.00945791,0.06473104,-0.00019706,0.02598350,-0.09572244,0.09016976,0.01484619,0.02197651,-0.03627905,-0.99910003,1689771117708
0.13,-0.02388803,-0.02225035,0.02491611,-0.17590867,-0.11457682,0.08863242,-0.02335173,-0.02305859,0.02468860,-0.17399215,-0.11746514,0.08863456,0.02161467,-0.03257479,-0.99923557,1689771117738
0.17,-0.01953065,-0.02264284,-0.00148541,-0.10241447,-0.06011810,0.02798559,-0.01956055,-0.02259561,-0.00178164,-0.10190123,-0.06092890,0.02810536,0.01829490,-0.02890166,-0.99941480,1689771117768
0.20,0.00513729,0.00431417,-0.01775372,-0.05943537,-0.10305350,0.06994870,0.00485439,0.00479582,-0.01770970,-0.05833441,-0.10492795,0.06806342,0.01595055,-0.02715688,-0.99950391,1689771117799
0.23,-0.01048342,-0.02098498,-0.00201786,-0.10099408,-0.08310797,0.07442332,-0.01051198,-0.02092920,-0.00241045,-0.10003953,-0.08497261,0.07360243,0.01289451,-0.02518843,-0.99959958,1689771117828
0.27,-0.02121234,0.00290143,0.00868058,-0.08648105,-0.05859238,0.05714187,-0.02111639,0.00269892,0.00897485,-0.08586228,-0.05989838,0.05671935,0.01086708,-0.02293652,-0.99967784,1689771117859
0.30,-0.00537918,0.02015872,0.01198196,-0.06364956,-0.10218921,0.02914237,-0.00527258,0.01989497,0.01246062,-0.06340260,-0.10280024,0.02748452,0.00872105,-0.02157809,-0.99972916,1689771117889
0.33,-0.01060707,-0.00165752,0.00489312,-0.09659355,-0.07357017,0.03161357,-0.01057929,-0.00176682,0.00491497,-0.09641760,-0.07426247,0.03051283,0.00566342,-0.02228383,-0.99973565,1689771117919
0.37,-0.00760797,0.00603002,0.00316978,-0.10214935,-0.01647470,0.02734334,-0.00759448,0.00596876,0.00331476,-0.10203538,-0.01699239,0.02745187,0.00415968,-0.01889349,-0.99981284,1689771117949
0.40,0.00624807,0.00808340,0.02445209,-0.09346500,-0.03783849,-0.00389425,0.00633127,0.00772197,0.02454732,-0.09347863,-0.03777927,-0.00413461,0.00339568,-0.01475180,-0.99988544,1689771117979
0.43,-0.00536025,-0.01129854,0.03232515,-0.16849582,-0.01352468,0.01286917,-0.00528378,-0.01167054,0.03220535,-0.16846503,-0.01367445,0.01311164,0.00236972,-0.01152892,-0.99993074,1689771118009
0.47,-0.00229709,-0.03515520,0.05566651,-0.33028856,-0.01444972,0.00784492,-0.00217872,-0.03541058,0.05550917,-0.33027118,-0.01448723,0.00848176,0.00212944,-0.00459426,-0.99998719,1689771118039
0.50,0.01616014,0.01086337,0.02861053,-0.31463158,-0.08880709,0.11044801,0.01618235,0.01101817,0.02853869,-0.31454545,-0.08820678,0.11117203,0.00077732,0.00541745,-0.99998504,1689771118070
0.53,0.02044372,-0.02081137,0.01192540,-0.42124170,-0.17364027,0.27559146,0.02040069,-0.02063375,0.01230179,-0.42222248,-0.16959191,0.27660970,-0.00355205,0.01466177,-0.99988621,1689771118100
0.57,-0.01750408,0.01128094,0.02394700,-0.48652264,-0.17087635,0.32650372,-0.01770051,0.01195351,0.02347162,-0.48923048,-0.16160478,0.32717751,-0.00828308,0.02836109,-0.99956340,1689771118130
0.60,0.01210527,0.03950954,-0.03301305,-0.33987331,-0.24756488,0.39285883,0.01258202,0.03814067,-0.03441488,-0.34546325,-0.23151484,0.39773902,-0.01413450,0.04058353,-0.99907619,1689771118180
0.63,-0.01718167,0.02471227,-0.04225951,-0.32716757,-0.20684966,0.31440946,-0.01627294,0.02254689,-0.04380185,-0.33383931,-0.19095179,0.31743889,-0.02110245,0.05028437,-0.99851197,1689771118191
0.67,-0.01934505,0.00167630,-0.01543063,-0.36327311,-0.06883054,0.28477114,-0.01895710,0.00070472,-0.01597739,-0.37024205,-0.05137742,0.27942940,-0.02467638,0.06179995,-0.99778348,1689771118220
0.70,0.01699444,0.02593249,0.02616417,-0.26512697,-0.06454547,0.22196032,0.01633910,0.02776697,0.02465559,-0.27081503,-0.04862293,0.21913431,-0.02575280,0.07208965,-0.99706560,1689771118251
0.73,0.00853501,0.02052729,0.03112626,-0.17724384,-0.08042590,0.17994776,0.00768661,0.02290138,0.02965641,-0.18227718,-0.06634096,0.18066215,-0.02786772,0.07798315,-0.99656510,1689771118281
0.77,-0.02816009,-0.02691362,0.00930136,-0.29796353,0.09452758,0.14920193,-0.02843271,-0.02605579,0.01079473,-0.30178471,0.10655169,0.13248273,-0.02707655,0.08520188,-0.99599576,1689771118311
0.80,-0.00356935,-0.00664616,0.01345640,-0.29569611,0.11008594,0.08509783,-0.00389203,-0.00534052,0.01393978,-0.29749074,0.11734752,0.06727231,-0.02349957,0.09508579,-0.99519169,1689771118341
0.83,0.01715099,0.00883843,0.01796508,-0.26059890,0.00080158,0.07682896,0.01677391,0.01067110,0.01731421,-0.26217636,0.00846842,0.07075987,-0.02131646,0.10360327,-0.99439025,1689771118371
0.87,0.01020546,0.01730712,-0.02817655,-0.27878848,-0.07530136,0.21871135,0.01084863,0.01406306,-0.02970089,-0.28365844,-0.05073796,0.21952565,-0.02215292,0.11173616,-0.99349093,1689771118401
0.90,-0.02015850,-0.01357543,-0.03845656,-0.34096932,-0.06726469,0.19863681,-0.01926639,-0.01816442,-0.03699222,-0.34565017,-0.04318664,0.19723610,-0.02355776,0.12118010,-0.99235094,1689771118432
0.93,-0.01815412,-0.00028460,-0.00027353,-0.40027586,-0.12325136,0.18975174,-0.01814174,-0.00034921,-0.00069506,-0.40518220,-0.09763838,0.19419453,-0.02544008,0.13280687,-0.99081540,1689771118462
0.97,0.00309738,0.00670196,-0.00768131,-0.51375759,-0.23869130,0.20481215,0.00334098,0.00551067,-0.00848428,-0.52019052,-0.20723132,0.22209327,-0.02996795,0.14655702,-0.98874819,1689771118492
1.00,-0.01160963,-0.01853113,-0.02433711,-0.88320643,-0.26086053,0.13537343,-0.01076319,-0.02236252,-0.02132024,-0.88839207,-0.23738795,0.14434076,-0.03680635,0.16660212,-0.98533702,1689771118522
1.03,-0.00883615,-0.07406870,0.02128500,-1.51160395,-0.25298578,0.07430712,-0.01008809,-0.06825595,0.03544935,-1.51452312,-0.23943209,0.05798138,-0.04365392,0.20268473,-0.97827053,1689771118552
1.07,0.00090244,0.00166467,0.01286232,-1.79271436,-0.38361350,-0.02572376,0.00023489,0.00486340,0.01205475,-1.79142353,-0.38979886,-0.02245823,-0.05267535,0.25240916,-0.96618575,1689771118582
1.10,0.03003915,0.03405574,-0.06374639,-1.72513509,-0.52338237,0.06960345,0.03452028,0.01346122,-0.06894122,-1.73123421,-0.49535188,0.11099303,-0.06588189,0.30278173,-0.95078009,1689771118622
1.13,-0.02646772,-0.08669594,0.00570172,-2.18339777,-0.46985310,-0.15225798,-0.02813275,-0.07926353,0.03427938,-2.17087209,-0.52576537,-0.14851058,-0.08037417,0.35877514,-0.92995721,1689771118643
1.17,-0.00589882,0.04305103,-0.01383698,-2.11704803,-0.50017184,-0.06357379,-0.00364039,0.03310649,-0.03115056,-2.11138619,-0.52510254,-0.04920875,-0.09549569,0.42049545,-0.90225506,1689771118673
1.20,0.01681340,0.05558395,-0.04885036,-1.68820131,-0.51656914,0.02136173,0.02353783,0.02659861,-0.06706048,-1.69392694,-0.49188907,0.07733254,-0.10885429,0.46921137,-0.87635124,1689771118703
1.23,-0.02236586,-0.12913471,0.00766569,-1.99579501,-0.42951441,-0.28476709,-0.02758888,-0.10724273,0.07051680,-1.95904720,-0.58354084,-0.26530509,-0.12338595,0.51716548,-0.84694499,1689771118733
1.27,0.01158623,0.00452733,0.04368508,-2.66594148,-0.46473989,-0.21839529,0.00557584,0.02926673,0.03428545,-2.62742822,-0.62326443,-0.28122237,-0.13931742,0.57344490,-0.80731136,1689771118764
1.30,0.02002132,-0.12112153,0.02838153,-3.35070372,-0.42696291,-0.23445737,0.00854658,-0.07292652,0.10239857,-3.29375398,-0.66615721,-0.41461096,-0.15345930,0.64454365,-0.74900854,1689771118794
1.33,0.01789066,-0.05896878,0.04542959,-3.98985219,-0.47601098,-0.34044382,0.00560654,-0.00658740,0.07606848,-3.89879385,-0.86429763,-0.56018306,-0.16905937,0.72089493,-0.67210829,1689771118824
1.37,0.04690653,-0.13707060,0.02318656,-5.18834591,-0.57193375,-0.30471727,0.02838020,-0.05692622,0.13221255,-5.07132611,-1.07815802,-0.67684631,-0.18624967,0.80571067,-0.56226456,1689771118857
1.40,0.02050714,-0.06804872,-0.00568795,-5.45661354,-0.60516191,-0.32398063,0.01248110,-0.03305672,0.06192737,-5.30935366,-1.24718697,-0.70788708,-0.20278850,0.88411927,-0.42096332,1689771118884
1.43,0.01289074,0.00871110,-0.11793289,-4.54591990,-0.73638928,-0.04865085,0.03949534,-0.10569642,-0.03766437,-4.48395187,-1.00286983,-0.31376974,-0.21783143,0.93673867,-0.27398932,1689771118914
1.47,-0.02979910,0.13934654,-0.14151631,-3.21078205,-0.83491486,-0.35531101,0.03005941,-0.11289873,-0.16334815,-3.14357210,-1.11813927,0.01300506,-0.22789118,0.96033913,-0.16066895,1689771118945
1.50,-0.02178882,0.09257323,-0.06599372,-2.57886124,-0.85038978,-0.44267932,0.01571437,-0.05690898,-0.09956983,-2.51598447,-1.10100729,0.16510028,-0.24272220,0.96745491,-0.07153395,1689771118979
1.53,-0.02066991,0.08328009,-0.04825270,-2.10793948,-0.79429036,-0.38090229,0.01355408,-0.04652190,-0.08569213,-2.06975454,-0.93911515,0.23145518,-0.25494957,0.96695215,0.00218621,1689771119005
1.57,-0.00260106,0.03780109,-0.01392103,-1.26785588,-0.38349336,-0.16345315,0.01149682,-0.01349951,-0.03626388,-1.23410166,-0.50632116,0.04329661,-0.26453444,0.96261102,0.05832389,1689771119035
1.60,0.01224896,-0.00753123,0.01057553,-0.95852971,-0.54319727,0.13977860,0.00647623,0.01370828,0.00942018,-1.07341226,-0.12051193,0.25815407,-0.26107398,0.96056485,0.09568650,1689771119065
1.63,-0.00526804,-0.01213318,-0.03367947,-0.28818780,-0.46494824,0.11771631,0.00033614,-0.03323471,0.01430434,-0.42600177,0.05396521,0.35874287,-0.25486377,0.95964319,0.11886906,1689771119095
1.67,-0.01791480,0.06301713,0.04238794,-0.00611920,-0.22958498,-0.27120253,-0.00983698,0.03270270,-0.07016127,-0.00039629,-0.25106194,0.25152588,-0.25558364,0.95915389,0.12124713,1689771119126
1.70,0.09461159,-0.06869489,0.01585138,0.24342795,2.82729197,-2.50051093,0.05998517,0.04519752,0.09099764,1.81526734,-2.34276614,-2.34981771,-0.28919160,0.95120239,0.10762256,1689771119156
1.73,0.47407433,0.04150558,0.23622739,0.17427568,0.59094554,-1.70755637,0.32937014,0.39944198,0.11930624,1.00784099,-1.47093927,-0.34048729,-0.37353408,0.92396390,0.08223864,1689771119186
1.77,-0.40418530,-0.15082616,-0.00766516,0.06913105,-0.25275570,0.45946306,-0.39516919,-0.17267060,-0.01411420,-0.21286222,0.43046476,0.22172193,-0.38025370,0.92128831,0.08145653,1689771119216
1.80,-0.14430743,0.11754251,0.01277912,0.28570035,-0.29468498,0.24363033,-0.08341965,-0.03368654,-0.16343366,0.04186270,0.31094280,0.35969675,-0.37232459,0.92475510,0.07875812,1689771119246
1.83,0.14977336,-0.07860744,0.10661016,-0.16594431,-0.68624765,1.37470257,0.06514255,0.14880807,0.11657410,-0.86489486,1.19193600,0.46853599,-0.34755766,0.93393892,0.08343780,1689771119277
